# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.645046229553e-10       7.586006462290e-15       2.382561876825e-13       0.000000000000e+00       9.046338873261e-11       9.751313026443e-12      -8.351242868833e-15 
   41       1.668978692326e-10       8.234293962814e-15       2.286722631095e-13       0.000000000000e+00       8.598777929521e-11       9.311590205641e-12      -6.389558464353e-15 
   42       1.693007832654e-10       8.921239578708e-15       2.180548497631e-13       0.000000000000e+00       8.180192047866e-11       8.896429003848e-12      -5.644106370251e-15 
   43       1.717225132238e-10       9.646379549436e-15       2.062926215520e-13       0.000000000000e+00       7.789473300147e-11       8.506507949095e-12      -5.882707386343e-15 
   44       1.741701544101e-10       1.040892638917e-14       1.932520631493e-13       0.000000000000e+00       7.423783281529e-11       8.141177032052e-12      -6.802860688273e-15 
   45       1.766484086349e-10       1.120805238907e-14       1.787876061975e-13       0.000000000000e+00       7.079567615481e-11       7.798901388859e-12      -8.072935737455e-15 
   46       1.791590521619e-10       1.204388706574e-14       1.627792992756e-13       0.000000000000e+00       6.756285815918e-11       7.479019631629e-12      -9.481084707862e-15 
   47       1.817008674687e-10       1.291678479834e-14       1.451037666540e-13       0.000000000000e+00       6.453562144157e-11       7.180316935396e-12      -1.082316020689e-14 
   48       1.842694534585e-10       1.382704578345e-14       1.256226495208e-13       0.000000000000e+00       6.170060572876e-11       6.900432856235e-12      -1.185902978052e-14 
   49       1.868569613924e-10       1.477491401748e-14       1.041817309404e-13       0.000000000000e+00       5.903413371004e-11       6.635779262874e-12      -1.231068845331e-14 
   50       1.894553090633e-10       1.576058617737e-14       8.065349502676e-14       0.000000000000e+00       5.650934392216e-11       6.382580617823e-12      -1.195046033320e-14 
   51       1.920674644869e-10       1.678424578562e-14       5.508045349715e-14       0.000000000000e+00       5.412152875745e-11       6.140518109408e-12      -1.089820684675e-14 
   52       1.946987685840e-10       1.784603483144e-14       2.756921092819e-14       0.000000000000e+00       5.186843971774e-11       5.909932817942e-12      -9.401529729389e-15 
   53       1.973536266294e-10       1.894604221377e-14      -1.748427998671e-15       0.000000000000e+00       4.974270479885e-11       5.690761261402e-12      -7.755029136894e-15 
   54       2.000354078661e-10       2.008430223661e-14      -3.271428957574e-14       0.000000000000e+00       4.773148361187e-11       5.482506143494e-12      -6.302655670776e-15 
   55       2.027464876914e-10       2.126081020266e-14      -6.518232439909e-14       0.000000000000e+00       4.582038620176e-11       5.284466358513e-12      -5.357166492329e-15 
   56       2.054886164618e-10       2.247557717793e-14      -9.914796331110e-14       0.000000000000e+00       4.400715960923e-11       5.096560929981e-12      -4.929674439734e-15 
   57       2.082624664742e-10       2.372858619619e-14      -1.346488487933e-13       0.000000000000e+00       4.229079726240e-11       4.918658518987e-12      -4.937032862785e-15 
   58       2.110674046539e-10       2.501977553209e-14      -1.717283563390e-13       0.000000000000e+00       4.066739829989e-11       4.750317366348e-12      -5.277986540799e-15 
   59       2.139013977240e-10       2.634903786264e-14      -2.104359708146e-13       0.000000000000e+00       3.912998881015e-11       4.590766141580e-12      -5.832293997181e-15 
   60       2.167609173749e-10       2.771621942859e-14      -2.508276628205e-13       0.000000000000e+00       3.766834307071e-11       4.438884791880e-12      -6.459849813988e-15 
   61       2.196424294519e-10       2.912106328615e-14      -2.929544216065e-13       0.000000000000e+00       3.627182362184e-11       4.293507963590e-12      -7.029631500078e-15 
   62       2.225474666624e-10       3.056302607454e-14      -3.368239946199e-13       0.000000000000e+00       3.493905083392e-11       4.154458177853e-12      -7.516118300159e-15 
   63       2.254785313954e-10       3.204141844464e-14      -3.824311887638e-13       0.000000000000e+00       3.367009644185e-11       4.021711633893e-12      -7.923055647356e-15 
   64       2.284375684881e-10       3.355545477873e-14      -4.297689565900e-13       0.000000000000e+00       3.246357490250e-11       3.895087361024e-12      -8.255607627632e-15 
   65       2.314259206551e-10       3.510425057785e-14      -4.788283968767e-13       0.000000000000e+00       3.131656041930e-11       3.774238302596e-12      -8.520425604880e-15 
   66       2.344442839172e-10       3.668681984929e-14      -5.295987552056e-13       0.000000000000e+00       3.022450396697e-11       3.658642399959e-12      -8.725716846021e-15 
   67       2.374926630299e-10       3.830207249404e-14      -5.820674245395e-13       0.000000000000e+00       2.918115031605e-11       3.547593676413e-12      -8.881313146102e-15 
   68       2.405708385227e-10       3.994893232470e-14      -6.362198931187e-13       0.000000000000e+00       2.818020884457e-11       3.440400302207e-12      -8.997649232357e-15 
   69       2.436799773346e-10       4.162672472819e-14      -6.920395745993e-13       0.000000000000e+00       2.722094457915e-11       3.337045323027e-12      -9.082304203627e-15 
   70       2.468212699660e-10       4.333486322135e-14      -7.495079443755e-13       0.000000000000e+00       2.630357619070e-11       3.237644410463e-12      -9.142879356694e-15 
   71       2.499954168221e-10       4.507273623465e-14      -8.086045884597e-13       0.000000000000e+00       2.542758500723e-11       3.142247169223e-12      -9.188066413019e-15 
   72       2.532025967271e-10       4.683970758491e-14      -8.693072027123e-13       0.000000000000e+00       2.459167689241e-11       3.050833514728e-12      -9.227688260940e-15 
   73       2.564424354373e-10       4.863511694782e-14      -9.315915920720e-13       0.000000000000e+00       2.379374412405e-11       2.963310050696e-12      -9.272739697882e-15 
   74       2.597139741547e-10       5.045828033065e-14      -9.954316697859e-13       0.000000000000e+00       2.303082727267e-11       2.879506446733e-12      -9.335428172563e-15 
   75       2.630156380406e-10       5.230849054483e-14      -1.060799456640e-12       0.000000000000e+00       2.229907707997e-11       2.799171815918e-12      -9.429214527194e-15 
   76       2.663458792960e-10       5.418485798117e-14      -1.127662187066e-12       0.000000000000e+00       2.159471005693e-11       2.722041269105e-12      -9.564914060392e-15 
   77       2.697053113908e-10       5.608579836979e-14      -1.195973019936e-12       0.000000000000e+00       2.091716072489e-11       2.648057596700e-12      -9.738088825329e-15 
   78       2.730949086246e-10       5.800945203540e-14      -1.265678624565e-12       0.000000000000e+00       2.026643761244e-11       2.577183618244e-12      -9.939419595189e-15 
   79       2.765153487187e-10       5.995383255127e-14      -1.336721864438e-12       0.000000000000e+00       1.964216307364e-11       2.509333443886e-12      -1.015840218613e-14 
   80       2.799669951614e-10       6.191682393710e-14      -1.409041737113e-12       0.000000000000e+00       1.904355554356e-11       2.444370290993e-12      -1.038330741317e-14 
   81       2.834498795544e-10       6.389617785691e-14      -1.482573314124e-12       0.000000000000e+00       1.846941179381e-11       2.382104300777e-12      -1.060114104609e-14 
   82       2.869636839589e-10       6.588951081699e-14      -1.557247680889e-12       0.000000000000e+00       1.791808918811e-11       2.322290354907e-12      -1.079760376531e-14 
   83       2.905077232411e-10       6.789430136374e-14      -1.632991876609e-12       0.000000000000e+00       1.738748793785e-11       2.264625892131e-12      -1.095705111776e-14 
   84       2.940813127134e-10       6.990813928226e-14      -1.709737231967e-12       0.000000000000e+00       1.687556146760e-11       2.208822232075e-12      -1.106574007680e-14 
   85       2.976849797508e-10       7.192952679631e-14      -1.787446101965e-12       0.000000000000e+00       1.638198359319e-11       2.154836914784e-12      -1.112227482969e-14 
   86       3.013194216012e-10       7.395720567038e-14      -1.866089475248e-12       0.000000000000e+00       1.590672647787e-11       2.102676054118e-12      -1.112882731297e-14 
   87       3.049851269355e-10       7.598991843048e-14      -1.945639050195e-12       0.000000000000e+00       1.544954835806e-11       2.052323321175e-12      -1.108801954457e-14 
   88       3.086823646700e-10       7.802640979738e-14      -2.026067315964e-12       0.000000000000e+00       1.500998467461e-11       2.003738996322e-12      -1.100293881669e-14 
   89       3.124111727875e-10       8.006542811979e-14      -2.107347633530e-12       0.000000000000e+00       1.458733920418e-11       1.956859021230e-12      -1.087715288873e-14 
   90       3.161713471588e-10       8.210572680757e-14      -2.189454316738e-12       0.000000000000e+00       1.418067519058e-11       1.911594050910e-12      -1.071472518026e-14 
   91       3.199624303649e-10       8.414606576496e-14      -2.272362713338e-12       0.000000000000e+00       1.378880647613e-11       1.867828505738e-12      -1.052022996393e-14 
   92       3.237837005178e-10       8.618521282374e-14      -2.356049286034e-12       0.000000000000e+00       1.341028863299e-11       1.825419623498e-12      -1.029876755841e-14 
   93       3.276344291229e-10       8.822183486632e-14      -2.440483605240e-12       0.000000000000e+00       1.304376169498e-11       1.784233305494e-12      -1.005549145437e-14 
   94       3.315147233079e-10       9.025414935039e-14      -2.525602773737e-12       0.000000000000e+00       1.268905658067e-11       1.744259881004e-12      -9.794075338156e-15 
   95       3.354247901863e-10       9.228022277955e-14      -2.611333287426e-12       0.000000000000e+00       1.234623945346e-11       1.705514082129e-12      -9.518042525791e-15 
   96       3.393646717195e-10       9.429807626360e-14      -2.697598751298e-12       0.000000000000e+00       1.201527096008e-11       1.667999364095e-12      -9.231241866056e-15 
   97       3.433342372308e-10       9.630568543755e-14      -2.784319849453e-12       0.000000000000e+00       1.169600218832e-11       1.631707462351e-12      -8.937856233822e-15 
   98       3.473331759206e-10       9.830098038067e-14      -2.871414315115e-12       0.000000000000e+00       1.138817062472e-11       1.596617949672e-12      -8.642411023361e-15 
   99       3.513609893805e-10       1.002818455354e-13      -2.958796900651e-12       0.000000000000e+00       1.109139611228e-11       1.562697793257e-12      -8.349782641664e-15 
  100       3.554169841086e-10       1.022461196264e-13      -3.046379347586e-12       0.000000000000e+00       1.080517680820e-11       1.529900911828e-12      -8.065207001756e-15 
  101       3.595002640236e-10       1.041915955795e-13      -3.134070356622e-12       0.000000000000e+00       1.052888514154e-11       1.498167732729e-12      -7.794288016015e-15 
  102       3.636097229797e-10       1.061160204407e-13      -3.221775557653e-12       0.000000000000e+00       1.026176377095e-11       1.467424749029e-12      -7.543006089489e-15 
  103       3.677440372813e-10       1.080170952954e-13      -3.309397479783e-12       0.000000000000e+00       1.000292154238e-11       1.437584076618e-12      -7.317726613212e-15 
  104       3.719019491626e-10       1.098925838605e-13      -3.396842053433e-12       0.000000000000e+00       9.751535515500e-12       1.408563464583e-12      -7.123733086824e-15 
  105       3.760831769604e-10       1.117406551430e-13      -3.484039181549e-12       0.000000000000e+00       9.507496830354e-12       1.380350358784e-12      -6.960582519705e-15 
  106       3.802876145101e-10       1.135595871343e-13      -3.570924904305e-12       0.000000000000e+00       9.270844958046e-12       1.352945706926e-12      -6.826135525391e-15 
  107       3.845150469236e-10       1.153476633699e-13      -3.657435156454e-12       0.000000000000e+00       9.041567666727e-12       1.326344062576e-12      -6.717968038341e-15 
  108       3.887651463018e-10       1.171031740425e-13      -3.743505809131e-12       0.000000000000e+00       8.819599243799e-12       1.300533367017e-12      -6.633363594388e-15 
  109       3.930374674461e-10       1.188244171154e-13      -3.829072711648e-12       0.000000000000e+00       8.604818718110e-12       1.275494731117e-12      -6.569305611193e-15 
  110       3.973314435710e-10       1.205096994354e-13      -3.914071733293e-12       0.000000000000e+00       8.397048082155e-12       1.251202217183e-12      -6.522469668693e-15 
  111       4.016463820157e-10       1.221573378464e-13      -3.998438805128e-12       0.000000000000e+00       8.196050514277e-12       1.227622620827e-12      -6.489215789557e-15 
  112       4.059814599567e-10       1.237656603024e-13      -4.082109961788e-12       0.000000000000e+00       8.001528600864e-12       1.204715252825e-12      -6.465580719636e-15 
  113       4.103357201194e-10       1.253330069808e-13      -4.165021383281e-12       0.000000000000e+00       7.813122558548e-12       1.182431720975e-12      -6.447270208416e-15 
  114       4.147080664905e-10       1.268577313953e-13      -4.247109436780e-12       0.000000000000e+00       7.630408456408e-12       1.160715711963e-12      -6.429651289467e-15 
  115       4.190972600299e-10       1.283382015096e-13      -4.328310718429e-12       0.000000000000e+00       7.452896438163e-12       1.139502773221e-12      -6.407744560901e-15 
  116       4.235020887694e-10       1.297728292274e-13      -4.408560537448e-12       0.000000000000e+00       7.280138124841e-12       1.118735079218e-12      -6.377241197800e-15 
  117       4.279219107377e-10       1.311601605515e-13      -4.487788070017e-12       0.000000000000e+00       7.112067437727e-12       1.098408233432e-12      -6.337710770951e-15 
  118       4.323561692999e-10       1.324987985277e-13      -4.565920691946e-12       0.000000000000e+00       6.948698067494e-12       1.078529773471e-12      -6.289770757642e-15 
  119       4.368042219613e-10       1.337873771981e-13      -4.642885511363e-12       0.000000000000e+00       6.790017197860e-12       1.059104611070e-12      -6.234098033102e-15 
  120       4.412653376212e-10       1.350245629651e-13      -4.718609396739e-12       0.000000000000e+00       6.635984693132e-12       1.040134946439e-12      -6.171430211361e-15 
  121       4.457386938272e-10       1.362090559554e-13      -4.793019004917e-12       0.000000000000e+00       6.486532285750e-12       1.021620182619e-12      -6.102566986110e-15 
  122       4.502233740285e-10       1.373395913840e-13      -4.866040809132e-12       0.000000000000e+00       6.341562763829e-12       1.003556839821e-12      -6.028371471556e-15 
  123       4.547183648306e-10       1.384149409189e-13      -4.937601127041e-12       0.000000000000e+00       6.200949158707e-12       9.859384697844e-13      -5.949771543285e-15 
  124       4.592225532487e-10       1.394339140444e-13      -5.007626148745e-12       0.000000000000e+00       6.064533932485e-12       9.687555701211e-13      -5.867761179117e-15 
  125       4.637347239619e-10       1.403953594259e-13      -5.076041964821e-12       0.000000000000e+00       5.932128165571e-12       9.519954986662e-13      -5.783401799967e-15 
  126       4.682535565673e-10       1.412981662735e-13      -5.142774594338e-12       0.000000000000e+00       5.803510744228e-12       9.356423878273e-13      -5.697823610700e-15 
  127       4.727776228336e-10       1.421412657066e-13      -5.207750012891e-12       0.000000000000e+00       5.678427548112e-12       9.196770589336e-13      -5.612226940996e-15 
  128       4.773053839552e-10       1.429236321176e-13      -5.270894180624e-12       0.000000000000e+00       5.556590637819e-12       9.040769365850e-13      -5.527883586202e-15 
  129       4.818353538517e-10       1.436443291796e-13      -5.332134431471e-12       0.000000000000e+00       5.437740143728e-12       8.888212744732e-13      -5.445891654506e-15 
  130       4.863666151534e-10       1.443026506781e-13      -5.391403753682e-12       0.000000000000e+00       5.321839334345e-12       8.739076629331e-13      -5.366406853876e-15 
  131       4.908983548939e-10       1.448979977785e-13      -5.448637034024e-12       0.000000000000e+00       5.208899511438e-12       8.593371788574e-13      -5.289329017748e-15 
  132       4.954297019962e-10       1.454298374343e-13      -5.503769776052e-12       0.000000000000e+00       5.098918866738e-12       8.451091893781e-13      -5.214540620738e-15 
  133       4.999597257148e-10       1.458977040713e-13      -5.556738137876e-12       0.000000000000e+00       4.991882118154e-12       8.312213042222e-13      -5.141906355677e-15 
  134       5.044874340777e-10       1.463012012707e-13      -5.607478969923e-12       0.000000000000e+00       4.887760145984e-12       8.176693280683e-13      -5.071272710653e-15 
  135       5.090117723287e-10       1.466400034525e-13      -5.655929852708e-12       0.000000000000e+00       4.786509629124e-12       8.044472129024e-13      -5.002467546046e-15 
  136       5.135316213693e-10       1.469138575595e-13      -5.702029134596e-12       0.000000000000e+00       4.688072681281e-12       7.915470103743e-13      -4.935299671577e-15 
  137       5.180457962010e-10       1.471225847409e-13      -5.745715969569e-12       0.000000000000e+00       4.592376487185e-12       7.789588241537e-13      -4.869558423336e-15 
  138       5.225530443675e-10       1.472660820352e-13      -5.786930354996e-12       0.000000000000e+00       4.499332938801e-12       7.666707622866e-13      -4.805013240833e-15 
  139       5.270520443963e-10       1.473443240547e-13      -5.825613169390e-12       0.000000000000e+00       4.408838271537e-12       7.546688895512e-13      -4.741413244028e-15 
  140       5.315414042415e-10       1.473573646681e-13      -5.861706210183e-12       0.000000000000e+00       4.320772700460e-12       7.429371798139e-13      -4.678486810379e-15 
  141       5.360196597255e-10       1.473053386850e-13      -5.895152231487e-12       0.000000000000e+00       4.235000056502e-12       7.314574683864e-13      -4.615941151876e-15 
  142       5.404852729812e-10       1.471884635388e-13      -5.925894981862e-12       0.000000000000e+00       4.151367422679e-12       7.202094043806e-13      -4.553461892082e-15 
  143       5.449366308940e-10       1.470070409704e-13      -5.953879242081e-12       0.000000000000e+00       4.069704770294e-12       7.091704030658e-13      -4.490712643175e-15 
  144       5.493721745896e-10       1.467614690315e-13      -5.979051195842e-12       0.000000000000e+00       3.989860609249e-12       6.983205373086e-13      -4.427404762227e-15 
  145       5.537908055720e-10       1.464522758736e-13      -6.001359503367e-12       0.000000000000e+00       3.911813668107e-12       6.876578559680e-13      -4.363515263659e-15 
  146       5.581915168502e-10       1.460800925056e-13      -6.020754405930e-12       0.000000000000e+00       3.835571583898e-12       6.771844921507e-13      -4.299089686024e-15 
  147       5.625732646903e-10       1.456456445013e-13      -6.037187441745e-12       0.000000000000e+00       3.761135721255e-12       6.669018406462e-13      -4.234173822385e-15 
  148       5.669349678109e-10       1.451497537422e-13      -6.050611485641e-12       0.000000000000e+00       3.688501015603e-12       6.568105386688e-13      -4.168813700690e-15 
  149       5.712755065784e-10       1.445933401601e-13      -6.060980788744e-12       0.000000000000e+00       3.617655816352e-12       6.469104465989e-13      -4.103055564135e-15 
  150       5.755937222022e-10       1.439774234802e-13      -6.068251018159e-12       0.000000000000e+00       3.548581730077e-12       6.372006287251e-13      -4.036945851537e-15 
  151       5.798884159298e-10       1.433031249641e-13      -6.072379296645e-12       0.000000000000e+00       3.481253463719e-12       6.276793339857e-13      -3.970531177700e-15 
  152       5.841583482423e-10       1.425716691522e-13      -6.073324242297e-12       0.000000000000e+00       3.415638667761e-12       6.183439767104e-13      -3.903858313785e-15 
  153       5.884022380495e-10       1.417843856071e-13      -6.071046008223e-12       0.000000000000e+00       3.351697779430e-12       6.091911173622e-13      -3.836974167681e-15 
  154       5.926187618853e-10       1.409427106562e-13      -6.065506322227e-12       0.000000000000e+00       3.289383865874e-12       6.002164432790e-13      -3.769925764366e-15 
  155       5.968065531027e-10       1.400481891346e-13      -6.056668526488e-12       0.000000000000e+00       3.228642467359e-12       5.914147494155e-13      -3.702760226286e-15 
  156       6.009642010691e-10       1.391024761279e-13      -6.044497617236e-12       0.000000000000e+00       3.169411440456e-12       5.827799190845e-13      -3.635524753715e-15 
  157       6.050902503619e-10       1.381073387154e-13      -6.028960284433e-12       0.000000000000e+00       3.111620801229e-12       5.743049046991e-13      -3.568266605130e-15 
  158       6.091831999633e-10       1.370646577126e-13      -6.010024951456e-12       0.000000000000e+00       3.055192568424e-12       5.659817085142e-13      -3.501033077574e-15 
  159       6.132415024557e-10       1.359764294141e-13      -5.987661814771e-12       0.000000000000e+00       3.000040606658e-12       5.578013633682e-13      -3.433871487030e-15 
  160       6.172635632172e-10       1.348447673367e-13      -5.961842883616e-12       0.000000000000e+00       2.946070469610e-12       5.497539134249e-13      -3.366829148787e-15 
  161       6.212478514695e-10       1.336718555807e-13      -5.932541906016e-12       0.000000000000e+00       2.893198752336e-12       5.418307335415e-13      -3.299951585817e-15 
  162       6.251932461481e-10       1.324598006192e-13      -5.899734056179e-12       0.000000000000e+00       2.841413400649e-12       5.340317583008e-13      -3.233277017069e-15 
  163       6.290987192232e-10       1.312107696718e-13      -5.863396295160e-12       0.000000000000e+00       2.790718460198e-12       5.263588584321e-13      -3.166841341974e-15 
  164       6.329632263093e-10       1.299270394160e-13      -5.823507520885e-12       0.000000000000e+00       2.741114980495e-12       5.188135512509e-13      -3.100679841033e-15 
  165       6.367857063752e-10       1.286109975070e-13      -5.780048607305e-12       0.000000000000e+00       2.692600947870e-12       5.113969921602e-13      -3.034827148038e-15 
  166       6.405650814537e-10       1.272651440982e-13      -5.733002443553e-12       0.000000000000e+00       2.645171218411e-12       5.041099661521e-13      -2.969317222280e-15 
  167       6.443002563521e-10       1.258920933613e-13      -5.682353973102e-12       0.000000000000e+00       2.598817450917e-12       4.969528793089e-13      -2.904183320773e-15 
  168       6.479901183611e-10       1.244945750068e-13      -5.628090232921e-12       0.000000000000e+00       2.553528039846e-12       4.899257503050e-13      -2.839457970466e-15 
  169       6.516335369657e-10       1.230754358043e-13      -5.570200392630e-12       0.000000000000e+00       2.509288048260e-12       4.830282019081e-13      -2.775172940459e-15 
  170       6.552293635542e-10       1.216376411025e-13      -5.508675793658e-12       0.000000000000e+00       2.466079140776e-12       4.762594524806e-13      -2.711359214220e-15 
  171       6.587764311285e-10       1.201842763495e-13      -5.443509988400e-12       0.000000000000e+00       2.423879516512e-12       4.696183074812e-13      -2.648046961800e-15 
  172       6.622735540142e-10       1.187185486136e-13      -5.374698779371e-12       0.000000000000e+00       2.382663842037e-12       4.631031509662e-13      -2.585265512051e-15 
  173       6.657195275698e-10       1.172437881027e-13      -5.302240258366e-12       0.000000000000e+00       2.342403184316e-12       4.567119370913e-13      -2.523043324839e-15 
  174       6.691131278972e-10       1.157634496855e-13      -5.226134845613e-12       0.000000000000e+00       2.303064943662e-12       4.504421816124e-13      -2.461407963263e-15 
  175       6.724531115512e-10       1.142811144111e-13      -5.146385328931e-12       0.000000000000e+00       2.264612786682e-12       4.442909533878e-13      -2.400386065868e-15 
  176       6.757382152496e-10       1.128004910295e-13      -5.062996902889e-12       0.000000000000e+00       2.227006579223e-12       4.382548658791e-13      -2.340003318863e-15 
  177       6.789671555828e-10       1.113254175119e-13      -4.975977207957e-12       0.000000000000e+00       2.190202319323e-12       4.323300686529e-13      -2.280284428338e-15 
  178       6.821386287241e-10       1.098598625711e-13      -4.885336369668e-12       0.000000000000e+00       2.154152070161e-12       4.265122388821e-13      -2.221253092477e-15 
