# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.646043524794e-10       7.653263646759e-15       2.380572452419e-13       6.776159096175e-17       9.046338873261e-11       9.751313026443e-12      -8.351242868833e-15 
   41       1.670017818514e-10       8.304886766483e-15       2.284586225922e-13       7.119228767623e-17       8.598777929521e-11       9.311590205641e-12      -6.389558464353e-15 
   42       1.694089273386e-10       8.995242771903e-15       2.178260421742e-13       7.471054803672e-17       8.180192047866e-11       8.896429003848e-12      -5.644106370251e-15 
   43       1.718349343078e-10       9.723866981254e-15       2.060482311399e-13       7.831659058381e-17       7.789473300147e-11       8.506507949095e-12      -5.882707386343e-15 
   44       1.742868951552e-10       1.048997092530e-14       1.929917356647e-13       8.201063154584e-17       7.423783281529e-11       8.141177032052e-12      -6.802860688273e-15 
   45       1.767695088383e-10       1.129272579908e-14       1.785110574642e-13       8.579284769862e-17       7.079567615481e-11       7.798901388859e-12      -8.072935737455e-15 
   46       1.792845493631e-10       1.213225974498e-14       1.624863239138e-13       8.966325273330e-17       6.756285815918e-11       7.479019631629e-12      -9.481084707862e-15 
   47       1.818307971509e-10       1.300892560269e-14       1.447942473431e-13       9.362178318434e-17       6.453562144157e-11       7.180316935396e-12      -1.082316020689e-14 
   48       1.844038491032e-10       1.392302190399e-14       1.252965666991e-13       9.766832943979e-17       6.170060572876e-11       6.900432856235e-12      -1.185902978052e-14 
   49       1.869958545349e-10       1.487479085055e-14       1.038391728811e-13       1.018027331907e-16       5.903413371004e-11       6.635779262874e-12      -1.231068845331e-14 
   50       1.895987294137e-10       1.586442717396e-14       8.029466528214e-14       1.060247814122e-16       5.650934392216e-11       6.382580617823e-12      -1.195046033320e-14 
   51       1.922154402625e-10       1.689211224292e-14       5.470566873372e-14       1.103341922986e-16       5.412152875745e-11       6.140518109408e-12      -1.089820684675e-14 
   52       1.948513266908e-10       1.795798571851e-14       2.717890641232e-14       1.147306211015e-16       5.186843971774e-11       5.909932817942e-12      -9.401529729389e-15 
   53       1.975107927897e-10       1.906213400668e-14      -2.153689907038e-15       1.192136606155e-16       4.974270479885e-11       5.690761261402e-12      -7.755029136894e-15 
   54       2.001972067506e-10       2.020458874814e-14      -3.313381069502e-14       1.237828384636e-16       4.773148361187e-11       5.482506143494e-12      -6.302655670776e-15 
   55       2.029129428967e-10       2.138534248048e-14      -6.561526758583e-14       1.284376693073e-16       4.582038620176e-11       5.284466358513e-12      -5.357166492329e-15 
   56       2.056597499672e-10       2.260440364044e-14      -9.959336824542e-14       1.331778328799e-16       4.400715960923e-11       5.096560929981e-12      -4.929674439734e-15 
   57       2.084382984974e-10       2.386175258024e-14      -1.351056331298e-13       1.380030354270e-16       4.229079726240e-11       4.918658518987e-12      -4.937032862785e-15 
   58       2.112479536544e-10       2.515732476971e-14      -1.721953114404e-13       1.429129580965e-16       4.066739829989e-11       4.750317366348e-12      -5.277986540799e-15 
   59       2.140866804047e-10       2.649100995518e-14      -2.109117574777e-13       1.479072563650e-16       3.912998881015e-11       4.590766141580e-12      -5.832293997181e-15 
   60       2.169509486818e-10       2.786265131840e-14      -2.513108069947e-13       1.529855594635e-16       3.766834307071e-11       4.438884791880e-12      -6.459849813988e-15 
   61       2.198372223079e-10       2.927198889754e-14      -2.934433145658e-13       1.581475485943e-16       3.627182362184e-11       4.293507963590e-12      -7.029631500078e-15 
   62       2.227470308346e-10       3.071847691256e-14      -3.373169076785e-13       1.633932133952e-16       3.493905083392e-11       4.154458177853e-12      -7.516118300159e-15 
   63       2.256828730306e-10       3.220142375743e-14      -3.829262767142e-13       1.687226522847e-16       3.367009644185e-11       4.021711633893e-12      -7.923055647356e-15 
   64       2.286466898867e-10       3.372004156191e-14      -4.302642571000e-13       1.741360006396e-16       3.246357490250e-11       3.895087361024e-12      -8.255607627632e-15 
   65       2.316398200345e-10       3.527344358197e-14      -4.793218300202e-13       1.796334327203e-16       3.131656041930e-11       3.774238302596e-12      -8.520425604880e-15 
